Player,Total score (points),Category,Tag,variable,category,Type
adwait,8582,biology,adwait,,,
rishabh,8541,biology,rishabh,,,
muz,6552,biology,muz,Weakness.1,biology,Weakness
mano,6505,biology,mano,,,
rish,6473,biology,rish,Weakness.3,biology,Weakness
sahib,6433,biology,sahib,Weakness.2,biology,Weakness
badhirpanda,5504,biology,badhirpanda,,,
pre-eat,5445,biology,pre-eat,Weakness.2,biology,Weakness
sommz,5244,biology,sommz,Strength.3,biology,Strength
sakura,4712,biology,sakura,,,
kale,4661,biology,kale,Weakness.4,biology,Weakness
vishal,4653,biology,vishal,,,
rishabh,8489,current affairs,rishabh,Strength,current affairs,Strength
adwait,5598,current affairs,adwait,,,
sommz,5570,current affairs,sommz,Strength,current affairs,Strength
muz,5426,current affairs,muz,,,
sakura,4682,current affairs,sakura,,,
kale,4465,current affairs,kale,,,
pre-eat,4097,current affairs,pre-eat,,,
rish,3385,current affairs,rish,Strength.1,current affairs,Strength
vishal,945,current affairs,vishal,,,
mano,6238,current affairs,mano,Strength,current affairs,Strength
rishabh,10264,gaming,rishabh,Strength.4,gaming,Strength
sakura,10113,gaming,sakura,,,
muz,8499,gaming,muz,Strength.4,gaming,Strength
adwait,6661,gaming,adwait,Strength.2,gaming,Strength
pre-eat,5430,gaming,pre-eat,Strength,gaming,Strength
badhirpanda,5339,gaming,badhirpanda,,,
rish,4957,gaming,rish,Weakness.2,gaming,Weakness
sommz,4508,gaming,sommz,,,
kale,4468,gaming,kale,Weakness.3,gaming,Weakness
vishal,4359,gaming,vishal,Strength.4,gaming,Strength
mano,3737,gaming,mano,Weakness.2,gaming,Weakness
sahib,2672,gaming,sahib,,,
mano,8353,geography,mano,,,
rish,7409,geography,rish,Strength.2,geography,Strength
sommz,6664,geography,sommz,Strength.1,geography,Strength
muz,5632,geography,muz,Strength,geography,Strength
adwait,4748,geography,adwait,Weakness.1,geography,Weakness
pre-eat,4622,geography,pre-eat,Weakness.1,geography,Weakness
kale,4558,geography,kale,Strength.1,geography,Strength
sakura,3747,geography,sakura,,,
rishabh,3734,geography,rishabh,Strength.1,geography,Strength
vishal,1705,geography,vishal,Weakness,geography,Weakness
rish,8099,history,rish,Strength,history,Strength
sommz,7073,history,sommz,,,
rishabh,6686,history,rishabh,,,
sakura,6547,history,sakura,Weakness,history,Weakness
badhirpanda,6506,history,badhirpanda,Strength,history,Strength
mano,6500,history,mano,,,
vishal,6328,history,vishal,,,
pre-eat,5653,history,pre-eat,Weakness,history,Weakness
adwait,4774,history,adwait,Weakness,history,Weakness
kale,4712,history,kale,Strength,history,Strength
muz,4690,history,muz,Weakness,history,Weakness
sahib,4495,history,sahib,Weakness.3,history,Weakness
sommz,7951,literature_art,sommz,Weakness.4,literature_art,Weakness
pre-eat,7272,literature_art,pre-eat,,,
mano,5645,literature_art,mano,Weakness.4,literature_art,Weakness
kale,5642,literature_art,kale,Strength.4,literature_art,Strength
muz,5260,literature_art,muz,,,
vishal,4992,literature_art,vishal,Weakness.4,literature_art,Weakness
sakura,4691,literature_art,sakura,,,
adwait,4660,literature_art,adwait,,,
rish,3777,literature_art,rish,Strength.4,literature_art,Strength
rishabh,3707,literature_art,rishabh,,,
sommz,8436,maths,sommz,Strength.2,maths,Strength
muz,8116,maths,muz,Strength.1,maths,Strength
mano,6997,maths,mano,Strength.1,maths,Strength
pre-eat,6134,maths,pre-eat,,,
rish,4952,maths,rish,,,
sakura,4673,maths,sakura,,,
rishabh,3803,maths,rishabh,Weakness,maths,Weakness
sahib,3717,maths,sahib,,,
vishal,3328,maths,vishal,Strength,maths,Strength
badhirpanda,2741,maths,badhirpanda,Weakness,maths,Weakness
kale,1838,maths,kale,Weakness,maths,Weakness
adwait,939,maths,adwait,Weakness.2,maths,Weakness
adwait,9539,movies_tv,adwait,,,
kale,9484,movies_tv,kale,Strength.2,movies_tv,Strength
muz,8386,movies_tv,muz,Weakness.2,movies_tv,Weakness
sommz,7983,movies_tv,sommz,Strength.4,movies_tv,Strength
